Year,Month,Class,SKU,Sum of Amount
2023,Jan,2H Honda Herbs S.A.S,Basil,206.1614234
2023,Jan,Agroindustrias el Molino de la Costa SAS,Basil,4400.821814
2023,Jan,Agroindustrias el Molino de la Costa SAS,Temperature Recorder,0
2023,Jan,Agroindustrias el Molino de la Costa SAS,Thai Basil,164.493258
2023,Jan,Basil Farm SAS,Basil,15692.73838
2023,Jan,Basil Farm SAS,Temperature Recorder,0
2023,Jan,Inversiones Agricola Tocota SAS,Mint,900.9270448
2023,Jan,Inversiones Agricola Tocota SAS,Thyme,341.2206441
2023,Jan,Jorge Oswaldo Flores Predio Alcaparro,Bay leaf,551.3155978
2023,Jan,La Corsaria SAS,Handling,1880.424901
2023,Jan,MD Investments SAS,Rosemary,1021.995281
2023,Jan,Organic Garden SAS,Bay leaf,1052.274294
2023,Jan,Organic Garden SAS,Chives,809.5118276
2023,Jan,Organic Garden SAS,Marjoram,40.93453982
2023,Jan,Organic Garden SAS,Mint,3029.794762
2023,Jan,Organic Garden SAS,Rosemary,893.76407
2023,Jan,Organic Garden SAS,Temperature Recorder,0
2023,Jan,Organic Garden SAS,Thyme,728.2713545
2023,Jan,Suaga Organic Herbs SAS,Bay leaf,29.70689514
2023,Jan,Suaga Organic Herbs SAS,Chives,1593.397378
2023,Jan,Suaga Organic Herbs SAS,Italian Oregano,94.79589558
2023,Jan,Suaga Organic Herbs SAS,Mint,427.0065699
2023,Jan,Suaga Organic Herbs SAS,Parsley,90.18201019
2023,Jan,Suaga Organic Herbs SAS,Rosemary,195.2990523
2023,Jan,Suaga Organic Herbs SAS,Tarragon,347.8158632
2023,Jan,Suaga Organic Herbs SAS,Temperature Recorder,0
2023,Jan,Suaga Organic Herbs SAS,Thyme,459.3671412
2023,Feb,2H Honda Herbs S.A.S,Basil,184.9110777
2023,Feb,Agroindustrias el Molino de la Costa SAS,Basil,2020.391106
2023,Feb,Agroindustrias el Molino de la Costa SAS,Temperature Recorder,0
2023,Feb,Agroindustrias el Molino de la Costa SAS,Thai Basil,138.4554698
2023,Feb,Basil Farm SAS,Basil,15622.10255
2023,Feb,Basil Farm SAS,Temperature Recorder,0
2023,Feb,Eshkol Premium SAS,Chives,66.08343189
2023,Feb,Eshkol Premium SAS,Mint,57.94646555
2023,Feb,Eshkol Premium SAS,Oregano,15.87342703
2023,Feb,Eshkol Premium SAS,Rosemary,66.32756482
2023,Feb,Eshkol Premium SAS,Tarragon,8.738522631
2023,Feb,Eshkol Premium SAS,Thyme,67.27058808
2023,Feb,Inversiones Agricola Tocota SAS,Mint,666.5953362
2023,Feb,Inversiones Agricola Tocota SAS,Thyme,894.2389504
2023,Feb,Jorge Oswaldo Flores Predio Alcaparro,Bay leaf,528.6416971
2023,Feb,La Corsaria SAS,Handling,1573.399836
