Year,Month,DateColumn,Class,SKU,Customer,Total Gross Sales $$,Total Rejections $$,Total NET Sales ($)
2023,January,44927,Agroindustrias el Molino de la Costa SAS,Basil,Soli Organic Inc - VIRGINIA,,383.68,-383.68
2023,January,44927,Agroindustrias el Molino de la Costa SAS,Thai Basil,Soli Organic Inc - VIRGINIA,,65.4,-65.4
2023,January,44927,Basil Farm SAS,Basil,Soli Organic Inc - VIRGINIA,,527.56,-527.56
2023,January,44927,Inversiones Agricola Tocota SAS,Mint,Soli Organic Inc - VIRGINIA,,139.52,-139.52
2023,January,44927,Suaga Organic Herbs SAS,Tarragon,Soli Organic Inc - VIRGINIA,,65.52,-65.52
2023,January,44928,Agroindustrias el Molino de la Costa SAS,Basil,Soli Organic Inc - RICE,3270,,3270
2023,January,44928,Agroindustrias el Molino de la Costa SAS,Thai Basil,Soli Organic Inc - INDIANAPOLIS,65.4,13.08,52.32
2023,January,44928,Agroindustrias el Molino de la Costa SAS,Thai Basil,Soli Organic Inc - VIRGINIA,65.4,65.4,0
2023,January,44928,Agroindustrias el Molino de la Costa SAS,Thai Basil,Soli Organic Inc - ATLANTA,130.8,,130.8
2023,January,44928,Basil Farm SAS,Basil,Soli Organic Inc - INDIANAPOLIS,8763.6,2053.56,6710.04
2023,January,44928,Basil Farm SAS,Basil,Soli Organic Inc - VIRGINIA,8698.2,2193.08,6505.12
2023,January,44928,Basil Farm SAS,Basil,Soli Organic Inc - ATLANTA,8698.2,2088.44,6609.76
2023,January,44928,Basil Farm SAS,Basil,Soli Organic Inc - RICE,915.6,,915.6
2023,January,44928,Basil Farm SAS,Basil,Coosemans DC Inc,5160,620,4540
2023,January,44928,Basil Farm SAS,Logistics,Soli Organic Inc - VIRGINIA,0,,0
2023,January,44928,Eshkol Premium SAS,Mint,Soli Organic Inc - ATLANTA,854.56,,854.56
2023,January,44928,Eshkol Premium SAS,Tarragon,Coosemans DC Inc,247.5,,247.5
2023,January,44928,Eshkol Premium SAS,Chives,Soli Organic Inc - VIRGINIA,187.8,,187.8
2023,January,44928,Eshkol Premium SAS,Chives,Coosemans DC Inc,504,,504
2023,January,44928,Eshkol Premium SAS,Oregano,Coosemans DC Inc,138,,138
2023,January,44928,Eshkol Premium SAS,Rosemary,Soli Organic Inc - ATLANTA,276.6,,276.6
2023,January,44928,Eshkol Premium SAS,Thyme,Soli Organic Inc - INDIANAPOLIS,484.05,,484.05
2023,January,44928,Eshkol Premium SAS,Thyme,Coosemans DC Inc,193.5,,193.5
2023,January,44928,HLB Specialties LLC:JCH Organic SAC,Ginger,Goodness Gardens Inc - NEW YORK,60,,60
2023,January,44928,La Corsaria SAS-Handling:Cold Chain Imports Inc,Handling,"La Corsaria, SAS",929.66,,929.66
2023,January,44928,MD Investments SAS,Rosemary,Soli Organic Inc - INDIANAPOLIS,1327.68,,1327.68
2023,January,44928,MD Investments SAS,Rosemary,Soli Organic Inc - VIRGINIA,737.6,,737.6
2023,January,44928,MD Investments SAS,Rosemary,Soli Organic Inc - ATLANTA,295.04,,295.04
2023,January,44928,Organic Garden SAS,Mint,Soli Organic Inc - INDIANAPOLIS,906.88,43.6,863.28
2023,January,44928,Organic Garden SAS,Mint,Soli Organic Inc - VIRGINIA,1604.48,,1604.48
2023,January,44928,Organic Garden SAS,Mint,Goodness Gardens Inc - FLORIDA,343.2,,343.2
2023,January,44928,Organic Garden SAS,Mint,Goodness Gardens Inc - NEW YORK,839.04,,839.04
2023,January,44928,Organic Garden SAS,Mint,Coosemans DC Inc,448,,448
